B144,"-35.623,18.286,4.57","-36.623,18.286,4.57","-36.623,18.286,6.57","-35.623,18.286,6.57","-35.623,18.286,4.57"
B145,"-43.168,17.952,4.57","-44.168,17.952,4.57","-44.168,17.952,6.57","-43.168,17.952,6.57","-43.168,17.952,4.57"
B146,"-38.163,13.642,4.57","-37.163,13.642,4.57","-37.163,13.642,6.57","-38.163,13.642,6.57","-38.163,13.642,4.57"
B147,"-32.527,13.642,4.57","-31.527,13.642,4.57","-31.527,13.642,6.57","-32.527,13.642,6.57","-32.527,13.642,4.57"
B148,"-5.262,17.103,4.57","-5.262,16.103,4.57","-5.262,16.103,6.57","-5.262,17.103,6.57","-5.262,17.103,4.57"
B149,"-41.978,6.617,0.0","-41.978,7.617,0.0","-41.978,7.617,2.0","-41.978,6.617,2.0","-41.978,6.617,0.0"
B150,"-35.278,44.982,4.57","-34.278,44.982,4.57","-34.278,44.982,6.57","-35.278,44.982,6.57","-35.278,44.982,4.57"
B151,"-31.482,38.888,0.0","-30.482,38.888,0.0","-30.482,38.888,2.0","-31.482,38.888,2.0","-31.482,38.888,0.0"
B152,"-31.598,46.816,4.57","-32.598,46.816,4.57","-32.598,46.816,6.57","-31.598,46.816,6.57","-31.598,46.816,4.57"
B153,"-40.475,54.281,0.0","-40.475,53.281,0.0","-40.475,53.281,2.0","-40.475,54.281,2.0","-40.475,54.281,0.0"
B154,"-15.179,42.218,0.0","-14.179,42.218,0.0","-14.179,42.218,2.0","-15.179,42.218,2.0","-15.179,42.218,0.0"
B155,"-4.861,15.902,0.0","-5.861,15.902,0.0","-5.861,15.902,2.0","-4.861,15.902,2.0","-4.861,15.902,0.0"
B156,"-20.713,38.576,4.57","-21.713,38.576,4.57","-21.713,38.576,6.57","-20.713,38.576,6.57","-20.713,38.576,4.57"
B157,"-2.402,12.866,4.57","-2.402,13.866,4.57","-2.402,13.866,6.57","-2.402,12.866,6.57","-2.402,12.866,4.57"
B158,"-38.658,27.025,0.0","-38.658,26.025,0.0","-38.658,26.025,2.0","-38.658,27.025,2.0","-38.658,27.025,0.0"
B159,"-39.373,24.996,0.0","-40.373,24.996,0.0","-40.373,24.996,2.0","-39.373,24.996,2.0","-39.373,24.996,0.0"
B160,"-48.767,45.881,0.0","-48.767,44.881,0.0","-48.767,44.881,2.0","-48.767,45.881,2.0","-48.767,45.881,0.0"
B161,"-48.512,53.202,0.0","-49.512,53.202,0.0","-49.512,53.202,2.0","-48.512,53.202,2.0","-48.512,53.202,0.0"
B162,"-38.658,52.948,0.0","-38.658,53.948,0.0","-38.658,53.948,2.0","-38.658,52.948,2.0","-38.658,52.948,0.0"
B163,"-21.729,12.042,0.0","-22.729,12.042,0.0","-22.729,12.042,2.0","-21.729,12.042,2.0","-21.729,12.042,0.0"
B164,"-19.892,18.331,0.0","-19.892,17.331,0.0","-19.892,17.331,2.0","-19.892,18.331,2.0","-19.892,18.331,0.0"
B165,"-25.838,15.517,0.0","-25.838,16.517,0.0","-25.838,16.517,2.0","-25.838,15.517,2.0","-25.838,15.517,0.0"
B166,"-31.532,15.508,0.0","-31.532,14.508,0.0","-31.532,14.508,2.0","-31.532,15.508,2.0","-31.532,15.508,0.0"
B167,"-31.612,12.042,0.0","-32.612,12.042,0.0","-32.612,12.042,2.0","-31.612,12.042,2.0","-31.612,12.042,0.0"
B168,"-45.653,12.042,0.0","-46.653,12.042,0.0","-46.653,12.042,2.0","-45.653,12.042,2.0","-45.653,12.042,0.0"
B169,"-43.951,1.024,0.0","-43.951,0.024,0.0","-43.951,0.024,2.0","-43.951,1.024,2.0","-43.951,1.024,0.0"
B170,"-22.913,2.842,0.0","-21.913,2.842,0.0","-21.913,2.842,2.0","-22.913,2.842,2.0","-22.913,2.842,0.0"
B171,"-7.518,19.971,0.0","-7.518,20.971,0.0","-7.518,20.971,2.0","-7.518,19.971,2.0","-7.518,19.971,0.0"
B172,"-9.932,12.718,0.0","-8.932,12.718,0.0","-8.932,12.718,2.0","-9.932,12.718,2.0","-9.932,12.718,0.0"
B173,"-17.768,18.802,0.0","-17.768,19.802,0.0","-17.768,19.802,2.0","-17.768,18.802,2.0","-17.768,18.802,0.0"
B174,"-17.768,14.611,0.0","-17.768,15.611,0.0","-17.768,15.611,2.0","-17.768,14.611,2.0","-17.768,14.611,0.0"
B175,"-10.442,44.863,4.57","-10.442,43.863,4.57","-10.442,43.863,6.57","-10.442,44.863,6.57","-10.442,44.863,4.57"
B176,"-35.008,46.816,4.57","-36.008,46.816,4.57","-36.008,46.816,6.57","-35.008,46.816,6.57","-35.008,46.816,4.57"
B177,"-41.969,18.286,4.57","-42.969,18.286,4.57","-42.969,18.286,6.57","-41.969,18.286,6.57","-41.969,18.286,4.57"
B178,"-43.009,11.156,4.57","-42.009,11.156,4.57","-42.009,11.156,6.57","-43.009,11.156,6.57","-43.009,11.156,4.57"
B179,"-29.997,13.642,4.57","-28.997,13.642,4.57","-28.997,13.642,6.57","-29.997,13.642,6.57","-29.997,13.642,4.57"
B180,"-28.798,13.642,4.57","-27.798,13.642,4.57","-27.798,13.642,6.57","-28.798,13.642,6.57","-28.798,13.642,4.57"
B181,"-10.308,22.912,4.57","-9.308,22.912,4.57","-9.308,22.912,6.57","-10.308,22.912,6.57","-10.308,22.912,4.57"
B182,"-17.768,18.842,4.57","-17.768,19.842,4.57","-17.768,19.842,6.57","-17.768,18.842,6.57","-17.768,18.842,4.57"
B183,"-3.457,12.718,4.57","-2.457,12.718,4.57","-2.457,12.718,6.57","-3.457,12.718,6.57","-3.457,12.718,4.57"
B184,"-37.485,-0.247,0.0","-36.485,-0.247,0.0","-36.485,-0.247,2.0","-37.485,-0.247,2.0","-37.485,-0.247,0.0"
B185,"-9.209,14.586,4.57","-10.209,14.586,4.57","-10.209,14.586,6.57","-9.209,14.586,6.57","-9.209,14.586,4.57"
B186,"-30.283,38.888,0.0","-29.283,38.888,0.0","-29.283,38.888,2.0","-30.283,38.888,2.0","-30.283,38.888,0.0"
B187,"-29.268,40.722,0.0","-30.268,40.722,0.0","-30.268,40.722,2.0","-29.268,40.722,2.0","-29.268,40.722,0.0"
B188,"-36.602,22.668,0.0","-35.602,22.668,0.0","-35.602,22.668,2.0","-36.602,22.668,2.0","-36.602,22.668,0.0"
B189,"-30.262,22.668,0.0","-29.262,22.668,0.0","-29.262,22.668,2.0","-30.262,22.668,2.0","-30.262,22.668,0.0"
B190,"-27.311,24.502,0.0","-28.311,24.502,0.0","-28.311,24.502,2.0","-27.311,24.502,2.0","-27.311,24.502,0.0"
B191,"-37.579,12.042,0.0","-38.579,12.042,0.0","-38.579,12.042,2.0","-37.579,12.042,2.0","-37.579,12.042,0.0"
B192,"-41.592,13.998,0.0","-40.592,13.998,0.0","-40.592,13.998,2.0","-41.592,13.998,2.0","-41.592,13.998,0.0"
B193,"-5.262,21.196,4.57","-5.262,20.196,4.57","-5.262,20.196,6.57","-5.262,21.196,6.57","-5.262,21.196,4.57"
B194,"-2.978,44.131,0.0","-2.978,45.131,0.0","-2.978,45.131,2.0","-2.978,44.131,2.0","-2.978,44.131,0.0"
B195,"-10.732,48.716,0.0","-10.732,47.716,0.0","-10.732,47.716,2.0","-10.732,48.716,2.0","-10.732,48.716,0.0"
B196,"-30.543,54.349,0.0","-31.543,54.349,0.0","-31.543,54.349,2.0","-30.543,54.349,2.0","-30.543,54.349,0.0"
B197,"-40.475,40.775,0.0","-40.475,39.775,0.0","-40.475,39.775,2.0","-40.475,40.775,2.0","-40.475,40.775,0.0"
B198,"-44.348,28.548,0.0","-43.348,28.548,0.0","-43.348,28.548,2.0","-44.348,28.548,2.0","-44.348,28.548,0.0"
B199,"-44.113,53.202,0.0","-45.113,53.202,0.0","-45.113,53.202,2.0","-44.113,53.202,2.0","-44.113,53.202,0.0"
