TRANSITION,weight,Unnamed: 1,Unnamed: 2,start,end
T183,1,SD130,N34,"-4.208,43.352,4.57","-5.44175,42.380188,4.57"
T184,1,SD136,N34,"-4.208,39.509,4.57","-5.44175,42.380188,4.57"
T185,1,SD137,N34,"-4.828,38.882,4.57","-5.44175,42.380188,4.57"
T186,1,SD124,N35,"-27.708,44.982,4.57","-28.042235,41.716765,4.57"
T187,1,SD237,N35,"-27.688,38.922,4.57","-28.042235,41.716765,4.57"
T188,1,SD51,N36,"-39.278,36.439,0","-39.35925,39.824313,0"
T189,1,SD201,N36,"-40.475,41.487,0","-39.35925,39.824313,0"
T190,1,SD202,N36,"-40.475,37.521,0","-39.35925,39.824313,0"
T191,1,SD226,N36,"-40.475,40.275,0","-39.35925,39.824313,0"
T192,1,SD139,N37,"-31.548,36.683,4.57","-32.299824,38.999941,4.57"
T193,1,SD141,N37,"-33.382,40.477,4.57","-32.299824,38.999941,4.57"
T194,1,SD143,N37,"-32.763,34.796,4.57","-32.299824,38.999941,4.57"
T195,1,SD219,N37,"-31.548,43.663,4.57","-32.299824,38.999941,4.57"
T196,1,SD107,N38,"-31.532,16.207,0","-27.755333,16.959667,0"
T197,1,SD108,N38,"-31.532,15.008,0","-27.755333,16.959667,0"
T198,1,SD110,N38,"-30.913,12.042,0","-27.755333,16.959667,0"
T199,1,SD200,N38,"-25.838,16.017,0","-27.755333,16.959667,0"
T200,1,SD4,N39,"-37.122,44.982,4.57","-37.689286,47.313857,4.57"
T201,1,SD119,N39,"-37.603,49.956,4.57","-37.689286,47.313857,4.57"
T202,1,SD120,N39,"-39.022,45.602,4.57","-37.689286,47.313857,4.57"
T203,1,SD219,N41,"-31.548,43.663,4.57","-30.411529,40.804765,4.57"
T204,1,SD238,N41,"-30.989,38.922,4.57","-30.411529,40.804765,4.57"
T205,1,SD23,N43,"-22.918,48.088,0","-23.006133,45.815333,0"
T206,1,SD73,N44,"-3.732,26.581,0","-5.644667,27.900833,0"
T207,1,SD70,N45,"-9.352,26.597,0","-12.052429,26.930929,0"
T208,1,SD126,N46,"-23.372,44.982,4.57","-25.400111,40.155333,4.57"
T209,1,SD147,N47,"-27.003,21.796,4.57","-25.1758,26.228,4.57"
T210,1,SD148,N47,"-24.753,21.216,4.57","-25.1758,26.228,4.57"
T211,1,SD149,N47,"-24.133,22.943,4.57","-25.1758,26.228,4.57"
T212,1,SD150,N47,"-24.133,24.142,4.57","-25.1758,26.228,4.57"
T213,1,SD151,N47,"-24.133,26.666,4.57","-25.1758,26.228,4.57"
T214,1,SD161,N48,"-5.262,20.696,4.57","-4.1686,17.839,4.57"
T215,1,SD162,N48,"-4.048,21.339,4.57","-4.1686,17.839,4.57"
T216,1,SD166,N48,"-3.428,18.485,4.57","-4.1686,17.839,4.57"
T217,1,SD167,N48,"-5.262,19.497,4.57","-4.1686,17.839,4.57"
T218,1,SD168,N48,"-3.428,15.546,4.57","-4.1686,17.839,4.57"
T219,1,SD169,N48,"-5.262,16.603,4.57","-4.1686,17.839,4.57"
T220,1,SD57,N49,"-48.563,34.062,0","-50.405286,31.695,0"
T221,1,SD58,N49,"-48.563,29.328,0","-50.405286,31.695,0"
T222,1,SD3,N50,"-15.258,37.058,0","-18.318833,37.4765,0"
T223,1,SD37,N50,"-19.293,42.218,0","-18.318833,37.4765,0"
T224,1,SD16,N51,"-37.693,50.837,0","-37.02975,52.694583,0"
T225,1,SD128,N52,"-18.678,43.977,4.57","-19.665455,39.366,4.57"
T226,1,SD138,N52,"-21.233,37.136,4.57","-19.665455,39.366,4.57"
T227,1,SD191,N52,"-18.627,37.136,4.57","-19.665455,39.366,4.57"
T228,1,SD220,N52,"-21.213,38.576,4.57","-19.665455,39.366,4.57"
T229,1,SD136,N53,"-4.208,39.509,4.57","-2.027385,36.018692,4.57"
T230,1,SD118,N54,"-39.769,46.816,4.57","-41.2031,45.916,4.57"
T231,1,SD120,N54,"-39.022,45.602,4.57","-41.2031,45.916,4.57"
T232,1,SD121,N54,"-43.538,45.816,4.57","-41.2031,45.916,4.57"
T233,1,SD122,N54,"-41.468,45.016,4.57","-41.2031,45.916,4.57"
T234,1,SD148,N55,"-24.753,21.216,4.57","-24.311286,20.173,4.57"
T235,1,SD224,N55,"-20.848,19.382,4.57","-24.311286,20.173,4.57"
T236,1,SD225,N55,"-24.983,19.382,4.57","-24.311286,20.173,4.57"
T237,1,SD137,N56,"-4.828,38.882,4.57","-8.286091,37.625,4.57"
T238,1,SD69,N57,"-24.308,26.323,0","-21.782167,26.059083,0"
T239,1,SD195,N57,"-20.228,26.53,0","-21.782167,26.059083,0"
T240,1,SD2,N58,"-12.859,44.052,0","-13.0135,45.2969,0"
T241,1,SD4,N59,"-37.122,44.982,4.57","-39.246462,43.972462,4.57"
T242,1,SD17,N60,"-31.662,53.161,0","-33.740727,55.345909,0"
T243,1,SD234,N61,"-52.147,16.805,0","-50.656615,14.759154,0"
T244,1,SD114,N62,"-46.213,10.225,0","-45.749636,8.656091,0"
T245,1,SD101,N63,"-39.883,10.225,0","-40.247636,9.624636,0"
T246,1,SD213,N64,"-41.978,7.117,0","-43.2494,7.5681,0"
T247,1,SD231,N64,"-43.035,5.786,0","-43.2494,7.5681,0"
T248,1,SD179,N65,"-43.668,13.642,4.57","-44.861846,11.400538,4.57"
T249,1,SD167,N66,"-5.262,19.497,4.57","-7.263455,18.988,4.57"
T250,1,SD83,N67,"-5.587,14.068,0","-6.3226,11.5366,0"
T251,1,SD132,N68,"-8.192,44.038,4.57","-7.110833,43.922833,4.57"
T252,1,SD132,N69,"-8.192,44.038,4.57","-10.119556,43.238,4.57"
T253,1,SD133,N69,"-10.442,44.363,4.57","-10.119556,43.238,4.57"
T254,1,SD2,N70,"-12.859,44.052,0","-15.609875,43.135,0"
T255,1,SD35,N70,"-14.679,42.218,0","-15.609875,43.135,0"
T256,1,SD36,N70,"-18.058,43.432,0","-15.609875,43.135,0"
T257,1,SD139,N71,"-31.548,36.683,4.57","-28.9929,35.8551,4.57"
T258,1,SD46,N72,"-34.909,40.722,0","-33.864182,43.985455,0"
T259,1,SD29,N74,"-4.362,47.791,0","-5.691455,49.490727,0"
T260,1,SD38,N75,"-24.308,37.392,0","-25.431,37.180625,0"
T261,1,SD39,N75,"-24.908,35.418,0","-25.431,37.180625,0"
T262,1,SD197,N75,"-26.142,36.037,0","-25.431,37.180625,0"
T263,1,SD69,N76,"-24.308,26.323,0","-25.306222,26.165333,0"
T264,1,SD116,N76,"-26.142,27.352,0","-25.306222,26.165333,0"
T265,1,SD117,N76,"-24.908,27.972,0","-25.306222,26.165333,0"
T266,1,SD73,N77,"-3.732,26.581,0","-2.815,25.908333,0"
T267,1,SD74,N77,"-3.732,25.382,0","-2.815,25.908333,0"
T268,1,SD75,N77,"-2.517,27.582,0","-2.815,25.908333,0"
T269,1,SD76,N77,"-1.898,25.947,0","-2.815,25.908333,0"
T270,1,SD77,N77,"-3.112,24.478,0","-2.815,25.908333,0"
T271,1,SD87,N78,"-9.352,18.811,0","-13.2105,17.674,0"
T272,1,SD144,N79,"-43.668,17.952,4.57","-45.97225,15.262,4.57"
T273,1,SD178,N79,"-43.048,15.797,4.57","-45.97225,15.262,4.57"
T274,1,SD179,N79,"-43.668,13.642,4.57","-45.97225,15.262,4.57"
T275,1,SD180,N80,"-40.429,13.642,4.57","-39.9008,11.2542,4.57"
T276,1,SD163,N81,"-3.428,22.743,4.57","-1.2352,21.9609,4.57"
T277,1,SD189,N83,"-7.779,12.718,4.57","-6.5698,10.5716,4.57"
T278,1,SD105,N85,"-38.658,15.427,0","-36.600222,16.390889,0"
T279,1,SD43,N86,"-28.569,40.722,0","-27.1206,43.1494,0"
T280,1,SD65,N87,"-34.903,22.668,0","-33.862222,19.563556,0"
T281,1,SD202,N88,"-40.475,37.521,0","-42.126,38.572,0"
T282,1,SD76,N89,"-1.898,25.947,0","-0.668222,27.102444,0"
T283,1,SD3,N90,"-15.258,37.058,0","-14.23525,36.361,0"
T284,1,SD34,N90,"-12.622,37.058,0","-14.23525,36.361,0"
T285,1,SD7,N91,"-31.662,50.501,0","-30.745,52.292,0"
T286,1,SD17,N91,"-31.662,53.161,0","-30.745,52.292,0"
T287,1,SD18,N91,"-29.828,53.331,0","-30.745,52.292,0"
T288,1,SD20,N91,"-31.043,54.349,0","-30.745,52.292,0"
T289,1,SD21,N92,"-32.887,48.088,0","-33.5271,45.8367,0"
T290,1,SD22,N93,"-27.768,48.088,0","-27.8641,45.8308,0"
T291,1,SD203,N94,"-47.788,34.842,0","-49.315667,35.790444,0"
T292,1,SD59,N95,"-47.788,28.548,0","-49.315667,27.597778,0"
T293,1,SD107,N96,"-31.532,16.207,0","-33.248889,17.9,0"
T294,1,SD115,N97,"-47.388,6.428,0","-45.3307,5.8668,0"
T295,1,SD96,N98,"-23.663,5.972,0","-23.087714,4.630571,0"
T296,1,SD98,N98,"-23.612,2.842,0","-23.087714,4.630571,0"
T297,1,SD99,N98,"-22.413,2.842,0","-23.087714,4.630571,0"
T298,1,SD104,N99,"-41.092,13.998,0","-41.651375,16.592,0"
T299,1,SD106,N99,"-40.492,17.822,0","-41.651375,16.592,0"
T300,1,SD6,N100,"-9.432,12.718,0","-12.722571,13.504,0"
T301,1,SD85,N100,"-16.618,13.89,0","-12.722571,13.504,0"
T302,1,SD211,N100,"-10.852,12.718,0","-12.722571,13.504,0"
T303,1,SD74,N101,"-3.732,25.382,0","-4.930444,24.156444,0"
T304,1,SD122,N102,"-41.468,45.016,4.57","-41.763,43.9742,4.57"
T305,1,SD185,N103,"-19.892,14.191,4.57","-23.361111,11.560667,4.57"
T306,1,SD192,N103,"-26.002,14.262,4.57","-23.361111,11.560667,4.57"
T307,1,SD224,N104,"-20.848,19.382,4.57","-23.6252,18.0676,4.57"
T308,1,SD225,N104,"-24.983,19.382,4.57","-23.6252,18.0676,4.57"
T309,1,SD38,N105,"-24.308,37.392,0","-21.877,36.6011,0"
T310,1,SD40,N106,"-23.133,40.722,0","-21.880857,43.038429,0"
T311,1,SD42,N106,"-23.752,42.281,0","-21.880857,43.038429,0"
T312,1,SD68,N107,"-25.393,22.668,0","-23.69575,20.163125,0"
T313,1,SD207,N108,"-34.152,24.502,0","-34.496778,27.453556,0"
T314,1,SD214,N109,"-45.012,46.816,4.57","-46.15825,48.90775,4.57"
T315,1,SD26,N111,"-18.058,45.722,0","-15.6655,45.397875,0"
T316,1,SD25,N112,"-18.058,48.685,0","-16.7328,49.3246,0"
T317,1,SD10,N113,"-42.509,11.156,4.57","-42.222286,12.509714,4.57"
T318,1,SD18,N114,"-29.828,53.331,0","-27.91925,54.856,0"
T319,1,SD7,N115,"-31.662,50.501,0","-33.290857,50.798857,0"
T320,1,SD197,N116,"-26.142,36.037,0","-26.54875,35.759,0"
T321,1,SD47,N117,"-36.112,38.308,0","-34.712286,36.388286,0"
T322,1,SD48,N117,"-34.152,38.888,0","-34.712286,36.388286,0"
T323,1,SD52,N118,"-42.669,34.842,0","-41.522333,36.027444,0"
T324,1,SD206,N119,"-42.669,28.548,0","-41.6175,26.583,0"
T325,1,SD61,N120,"-32.763,28.548,0","-32.602,27.220857,0"
T326,1,SD208,N120,"-32.953,24.502,0","-32.602,27.220857,0"
T327,1,SD116,N121,"-26.142,27.352,0","-26.54925,27.631,0"
T328,1,SD12,N122,"-47.813,53.202,0","-46.916,55.47775,0"
T329,1,SD228,N123,"-41.907,1.812,0","-39.947444,0.883111,0"
T330,1,SD97,N124,"-27.028,7.031,0","-25.686,8.523625,0"
T331,1,SD94,N125,"-22.448,9.588,0","-21.04875,9.05525,0"
T332,1,SD88,N126,"-9.352,21.943,0","-12.598,22.125111,0"
T333,1,SD131,N127,"-2.689,42.732,4.57","-1.092,41.549,4.57"
T334,1,SD151,N128,"-24.133,26.666,4.57","-22.027,27.79275,4.57"
T335,1,SD147,N129,"-27.003,21.796,4.57","-29.339875,25.753,4.57"
T336,1,SD152,N130,"-19.273,22.912,4.57","-18.078857,25.056286,4.57"
T337,1,SD153,N130,"-16.768,24.927,4.57","-18.078857,25.056286,4.57"
T338,1,SD153,N131,"-16.768,24.927,4.57","-15.074571,24.263143,4.57"
T339,1,SD154,N131,"-12.948,23.532,4.57","-15.074571,24.263143,4.57"
T340,1,SD155,N132,"-12.393,22.912,4.57","-13.608667,20.050889,4.57"
T341,1,SD176,N133,"-17.768,15.166,4.57","-16.19,16.411778,4.57"
T342,1,SD175,N134,"-13.432,14.586,4.57","-14.263,17.086375,4.57"
T343,1,SD119,N135,"-37.603,49.956,4.57","-36.999375,51.59575,4.57"
T344,1,SD41,N138,"-24.332,40.722,0","-25.332,43.011286,0"
T345,1,SD42,N138,"-23.752,42.281,0","-25.332,43.011286,0"
T346,1,SD45,N139,"-36.108,40.722,0","-37.730571,43.023143,0"
T347,1,SD67,N140,"-28.563,22.668,0","-27.130143,19.859857,0"
T348,1,SD218,N141,"-25.378,46.816,4.57","-26.551429,48.708857,4.57"
T349,1,SD138,N146,"-21.233,37.136,4.57","-21.576,36.700714,4.57"
T350,1,SD33,N148,"-4.362,41.871,0","-5.86175,43.34725,0"
T351,1,SD32,N149,"-4.362,44.781,0","-6.047714,45.285143,0"
T352,1,SD30,N150,"-2.978,47.591,0","-1.4605,49.30275,0"
